KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note,,KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
2019-07-19,25,SD,3,,Sufflamen bursa,15,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Parupeneus insularis,21,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Parupeneus insularis,26,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Parupeneus insularis,20,2,,1607,10.7,2,Current,,,,,,,,,,,,,,
2020-07-19,1,SD,1,,Cephalopholis argus,43,1,,833,11.4,2,,,,,,,,,,,,,,,
2020-07-19,1,SD,1,,Cephalopholis argus,18,1,,833,11.4,2,,,,,,,,,,,,,,,
2020-07-19,1,SD,1,,Caranx melampygus,42,1,,833,11.4,2,,,,,,,,,,,,,,,
2020-07-19,1,SD,1,,Lutjanus bohar,36,1,,833,11.4,2,,,,,,,,,,,,,,,
2020-07-19,1,SD,1,,Lutjanus bohar,32,1,,833,11.4,2,,,,,,,,,,,,,,,
2020-07-19,1,SD,1,,Lutjanus bohar,34,1,,833,11.4,2,,,,,,,,,,,,,,,
2020-07-19,1,SD,1,,Chromis margaritifer,5,15,,833,11.4,2,,,,,,,,,,,,,,,
